compound,0.0
neg,0.163
neu,0.5
pos,0.338
compound,0.34
neg,0.0
neu,0.698
pos,0.302
compound,0.3804
neg,0.318
neu,0.682
pos,0.0
compound,-0.4215
neg,0.0
neu,0.733
pos,0.267
compound,0.2924
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,0.75
pos,0.25
compound,0.25
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.462
neu,0.192
pos,0.346
compound,-0.1531
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,0.5
pos,0.5
compound,0.4588
neg,0.0
neu,0.377
pos,0.623
compound,0.5106
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.444
neu,0.556
pos,0.0
compound,-0.5859
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.358
neu,0.123
pos,0.519
compound,0.3182
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,0.58
pos,0.42
compound,0.4404
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,0.702
pos,0.298
compound,0.1779
neg,0.626
neu,0.374
pos,0.0
compound,-0.7717
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.373
neu,0.267
pos,0.36
compound,-0.0258
neg,0.286
neu,0.714
pos,0.0
compound,-0.34
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.398
neu,0.602
pos,0.0
compound,-0.5106
neg,0.615
neu,0.385
pos,0.0
compound,-0.4939
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.333
neu,0.667
pos,0.0
compound,-0.25
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,0.543
pos,0.457
compound,0.6369
neg,0.398
neu,0.602
pos,0.0
compound,-0.5106
neg,0.615
neu,0.385
pos,0.0
compound,-0.4939
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.333
neu,0.667
pos,0.0
compound,-0.25
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.241
neu,0.759
pos,0.0
compound,-0.2263
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
neg,0.0
neu,1.0
pos,0.0
compound,0.0
